EUBWID,label,Site Name in Files,samplePointID,yearDesignated,yearDedesignated,district,county,country,easting,northing,lat,long,seasonStartDate,seasonFinishDate,pollutionRiskForecasting,appointedSewerageUndertaker,stepChange,stepChangeDate,region
ukd5300-41300,Ainsdale,Ainsdale,41300,1988,,Sefton,,England,329700,412900,53.60792741,-3.063987798,01/05/2022,30/09/2022,True,United Utilities Water Limited,,,North West
ukd1101-46100,Allonby,Allonby,46100,1988,,Allerdale,Cumbria,England,307800,542400,54.76803625,-3.434625292,01/05/2022,30/09/2022,True,United Utilities Water Limited,,,North West
ukd1101-46000,Allonby South,Allonby_South,46000,1988,2019.0,Allerdale,Cumbria,England,306339,539751,54.74396018,-3.456453603,01/05/2019,30/09/2019,True,United Utilities Water Limited,,,North West
ukc2101-04250,Amble Links,Amble_Links,4250,1991,,Northumberland,,England,428500,603600,55.32565184,-1.552400659,01/05/2022,30/09/2022,False,Northumbrian Water Limited,,,North East
ukf3102-09400,Anderby,Anderby,9400,1988,,Lincolnshire,,England,555218,376164,53.25977424,0.325519541,01/05/2022,30/09/2022,False,Anglian Water Services Limited,,,East Midlands
ukk4200-23501,Anstey's Cove (Torquay),Ansteys_Cove_Torquay,23501,2004,,Torbay,,England,293574,64634,50.47184615,-3.501089731,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukk4200-23400,Babbacombe,Babbacombe,23400,1988,,Torbay,,England,293000,65450,50.47907733,-3.509409069,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukc2102-03700,Bamburgh Castle,Bamburgh_Castle,3700,1988,,Northumberland,,England,418500,635300,55.61096248,-1.707903477,01/05/2022,30/09/2022,False,Northumbrian Water Limited,,,North East
ukk4305-25700,Bantham,Bantham,25700,1988,,South Hams,Devon,England,266230,43800,50.2789762,-3.878799945,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukj3307-16350,Beachlands Central,Beachlands_Central,16350,1998,,Havant,Hampshire,England,471350,98710,50.78359334,-0.989275631,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
