,time,site
44623,2020-07-20,ukj4210-12300
78914,2022-08-29,ukk2206-20300
44107,2020-07-12,ukh3311-11350
86481,2020-05-14,ukk3101-26800
19708,2021-09-08,ukh1407-10800
107686,2020-01-20,ukk4304-34200
5890,2020-06-17,ukj4210-12450
9415,2020-09-26,ukk4305-24700
24089,2022-03-07,ukh1305-10100
104432,2021-02-16,ukk3106-32200
104729,2021-05-04,ukk4100-26400
92233,2021-05-03,ukj2402-15650
22235,2021-11-22,ukk4301-22000
54755,2021-04-11,ukk2206-20500
90627,2021-02-01,ukk3101-27000
95776,2021-11-02,ukk4301-22100
75034,2022-06-25,ukk2102-19170
6454,2020-07-02,ukf3102-09200
17967,2021-07-21,ukk4304-34300
33360,2022-10-16,uke2206-07200
9704,2020-10-06,ukc2204-05300
29683,2022-07-27,ukh1303-10500
101961,2022-11-20,ukk4200-23200
57202,2021-05-17,ukk3106-28300
43643,2020-07-06,ukd5300-41500
25391,2022-04-11,ukk2201-18900
9320,2020-09-21,ukk4200-23900
36373,2020-03-05,ukc1101-06100
37135,2020-03-22,ukh1303-10325
55792,2021-04-26,ukh3311-11700
36012,2020-02-26,ukk2102-19170
50010,2020-11-12,ukh3311-11250
43905,2020-07-08,ukk4306-22800
76598,2022-07-21,ukk3104-33200
31251,2022-08-27,ukk2205-21500
81213,2022-10-06,ukc2203-04900
5186,2020-05-31,ukc2300-05500
78209,2022-08-17,ukk3106-28100
82199,2022-10-24,ukd4303-41800
92010,2021-04-22,ukk3106-27500
55691,2021-04-24,ukk3104-32550
33664,2022-10-26,ukd1101-46300
32478,2022-09-24,ukc2102-03800
97154,2022-02-03,ukk1202-35700
75532,2022-07-05,ukk2206-20400
58794,2021-06-13,ukj3308-17100
95280,2021-10-11,ukk4304-34300
25909,2022-04-26,uke1200-08900
97240,2022-02-05,ukk2101-19050
11160,2021-01-09,uke2206-07100
5129,2020-05-29,ukk3101-26530
93977,2021-08-22,ukd5300-41300
49645,2020-11-02,ukk2205-21400
77792,2022-08-10,ukk3106-28300
80931,2022-09-29,ukd4200-42300
37771,2020-03-30,ukk3103-29400
92385,2021-05-14,ukd4312-43000
84889,2020-02-04,uke2206-07200
68993,2022-02-23,ukk3105-31250
32233,2022-09-18,ukj4208-13800
61495,2021-08-02,ukk2305-35000
30488,2022-08-10,ukk4304-34450
88610,2020-09-26,uke1200-07950
52632,2021-02-28,ukk3102-32000
99851,2022-07-26,ukk3101-26800
9278,2020-09-21,ukc2103-04600
45042,2020-07-28,ukk4307-33900
69248,2022-03-05,uke1200-08300
15906,2021-05-29,ukk4200-24100
7732,2020-08-06,ukh1407-10750
21372,2021-10-24,ukc2101-04000
64310,2021-09-23,ukk2206-20800
90686,2021-02-05,ukk4301-22100
26485,2022-05-14,ukc2102-03600
110756,2020-08-24,ukk4305-24700
78665,2022-08-26,ukj2402-15680
54795,2021-04-12,ukk3103-28900
12653,2021-03-17,ukc1101-06200
80815,2022-09-26,ukk4305-25500
16118,2021-06-03,ukd1101-46300
82336,2022-10-26,ukk2102-19200
65533,2021-10-16,ukk2201-18700
59847,2021-07-01,ukk3104-33650
68962,2022-02-23,ukk1202-36000
55602,2021-04-23,ukj4208-13700
66482,2021-11-05,ukk3106-27700
85802,2020-04-04,ukk4305-25700
89382,2020-11-03,ukd4312-42800
1352,2020-03-14,ukj4208-13400
27793,2022-06-13,ukc2101-04250
11382,2021-01-24,ukc2102-03600
33679,2022-10-26,ukk2201-18900
86907,2020-06-21,ukk3106-27400
28051,2022-06-20,ukh1303-10500
102053,2022-11-25,ukk3103-29200
4976,2020-05-26,ukk4200-24500
5245,2020-05-31,ukj4202-12100
100844,2022-09-23,uke1200-07900
106659,2022-06-11,ukk3105-30600
41400,2020-05-24,ukk3101-26570
67697,2021-12-18,ukk3104-33100
51788,2021-02-08,ukc1404-05700
21819,2021-11-05,uke2206-07500
39804,2020-04-29,ukk2205-20970
35160,2020-01-12,ukj2403-15900
59440,2021-06-25,ukc1202-06600
76134,2022-07-15,ukj2202-14150
89428,2020-11-04,ukj2402-15650
87819,2020-08-22,ukc2106-04500
84617,2020-01-12,ukk2206-20300
42160,2020-06-07,ukh3311-11500
49208,2020-10-16,ukc1202-06500
94223,2021-09-01,ukk3105-30100
85957,2020-04-14,ukk2101-19150
47156,2020-09-04,ukk3106-27600
92386,2021-05-14,ukd5300-41300
86535,2020-05-19,ukk2201-17300
68334,2022-01-22,ukk3102-28800
15763,2021-05-27,ukk3105-30500
24092,2022-03-07,ukh1305-10200
19874,2021-09-13,uke2206-07500
37909,2020-04-01,ukk2102-19200
23751,2022-02-23,ukc2204-05300
74001,2022-06-07,ukh3311-11650
38103,2020-04-04,ukk2206-20700
55340,2021-04-19,ukk3105-30200
58690,2021-06-10,ukk1202-35700
70525,2022-03-25,ukk2305-35200
86049,2020-04-19,ukd5300-41300
49837,2020-11-07,ukh3311-11700
41485,2020-05-26,ukc2203-04800
21216,2021-10-16,ukk4200-24500
4805,2020-05-24,ukc2204-05300
28377,2022-06-27,ukj2201-14500
33303,2022-10-15,ukh3311-11100
112213,2020-03-13,ukk3101-26530
4369,2020-05-14,ukk3105-31450
73070,2022-05-22,ukd4200-42600
2619,2020-04-11,uke1301-09000
99887,2022-07-28,ukk4100-26500
9086,2020-09-16,ukd1101-46300
99771,2022-07-18,ukd4312-43000
37044,2020-03-20,ukk3102-28800
89502,2020-11-05,ukk4301-21600
77220,2022-08-02,ukk3105-30400
27257,2022-06-02,ukf3102-09600
76455,2022-07-18,ukk4306-22800
23148,2022-01-21,uke2206-07100
75184,2022-07-01,ukd4200-42500
99946,2022-08-02,uke1200-07950
76326,2022-07-18,ukd4200-42600
34700,2022-12-14,ukh3100-11830
88518,2020-09-21,ukk2201-17300
88937,2020-10-08,uke2206-07200
47580,2020-09-13,ukk2102-19450
7519,2020-08-01,ukh1303-10350
75732,2022-07-10,ukc1101-06100
96025,2021-11-13,ukk3105-31400
20234,2021-09-21,ukk3103-29000
7944,2020-08-10,ukk4307-33800
50116,2020-11-15,uke1200-08600
24295,2022-03-12,ukc1404-05900
83735,2022-12-03,ukk3106-27200
43100,2020-06-23,ukk3106-32200
9482,2020-09-29,ukk4307-33800
104329,2021-02-01,ukk3104-33650
47240,2020-09-06,uke2206-07600
70800,2022-04-01,ukk4301-22200
108782,2022-06-30,ukk4306-22400
50734,2020-12-27,ukh3311-11650
76337,2022-07-18,uke1200-08600
3412,2020-04-26,ukk2102-19400
16711,2021-06-15,ukj4209-12000
75045,2022-06-25,ukk2205-21000
15070,2021-05-11,ukh3100-11830
1347,2020-03-14,ukj4202-12100
102513,2022-12-20,ukk2206-20800
47834,2020-09-18,ukh1305-10300
18885,2021-08-12,ukk4304-34800
74918,2022-06-23,ukk3101-26570
37901,2020-04-01,ukj4210-12300
59312,2021-06-23,ukd5400-40750
53249,2021-03-15,ukk3105-30750
78689,2022-08-27,ukd1101-46100
90360,2021-01-09,ukk2201-17300
53129,2021-03-14,ukh3100-11902
103843,2020-11-10,ukk2101-19060
18432,2021-08-02,ukk4305-24900
51375,2021-01-24,ukk3102-28600
66347,2021-11-03,ukd5300-41200
100529,2022-09-08,ukk4301-21600
35560,2020-01-29,ukh3100-11902
40649,2020-05-12,ukd4305-43550
16399,2021-06-08,ukk2101-19100
102112,2022-11-28,ukk3106-32150
59132,2021-06-18,ukk4200-24600
59065,2021-06-18,ukk2206-20400
103908,2020-11-13,ukk3104-33700
99052,2022-05-27,ukk3104-33200
2338,2020-04-04,ukk4304-34450
88561,2020-09-21,ukk4305-25600
39406,2020-04-24,ukc2203-04800
82155,2022-10-23,ukk1202-35700
25068,2022-04-01,uke2206-07200
40920,2020-05-16,ukj4208-13600
98657,2022-04-27,ukk3102-28700
32314,2022-09-20,ukj4209-12000
80505,2022-09-23,ukh3311-11600
6907,2020-07-13,ukd4303-41900
87377,2020-07-22,ukj2203-14600
26803,2022-05-21,ukk2205-21500
50749,2020-12-27,ukj3400-17900
56655,2021-05-08,ukh1406-10900
64350,2021-09-24,ukk3104-33300
106159,2022-03-15,ukk3102-32000
86804,2020-06-13,ukd1102-44300
89685,2020-11-13,ukk3102-31700
56226,2021-05-02,ukk3101-26570
35397,2020-01-20,uke2206-06900
93170,2021-06-30,ukj3305-16800
34963,2022-12-29,ukh3100-11830
83000,2022-11-15,ukc1202-06600
103280,2020-09-04,ukk3106-27300
31414,2022-08-30,ukk3105-30200
30864,2022-08-19,ukh1303-10350
86743,2020-06-05,ukk2101-19030
7413,2020-07-30,ukc2204-05400
101665,2022-11-10,ukk2206-20800
70200,2022-03-20,ukk2201-18700
36153,2020-02-29,ukk4301-22300
93763,2021-08-04,ukk2101-19050
9908,2020-10-11,ukk4305-24700
89011,2020-10-11,ukd1102-44400
54478,2021-04-08,ukf3102-09300
75705,2022-07-08,ukk4200-24000
53564,2021-03-20,ukk4200-24000
91986,2021-04-21,ukk2204-20100
100328,2022-08-29,ukj4208-13400
90732,2021-02-08,ukk2205-21500
71774,2022-04-24,ukk2102-19170
56509,2021-05-06,ukh3311-11650
19645,2021-09-06,ukk2204-19800
16800,2021-06-18,ukk4200-23600
73988,2022-06-07,ukh1305-10300
81251,2022-10-06,ukk2201-18700
75698,2022-07-08,ukk3106-32310
60688,2021-07-20,uke2206-07400
48594,2020-10-04,ukk3102-28600
29569,2022-07-21,ukk3105-30900
90792,2021-02-10,ukj3305-16800
85774,2020-04-04,ukk2101-19150
54805,2021-04-12,ukk3104-33300
105078,2021-09-24,ukk3101-26600
34142,2022-11-15,ukk2305-35100
48825,2020-10-08,ukk2201-18800
111926,2021-10-13,ukk4200-23100
108867,2022-11-15,ukk4304-34200
78292,2022-08-19,ukj2401-15200
107376,2022-11-30,ukk3101-26560
100755,2022-09-18,ukk2206-20300
12411,2021-03-08,ukc2101-04000
99891,2022-07-28,ukk4301-21700
27,2020-01-04,ukj4202-12200
24496,2022-03-15,ukk3101-26530
70047,2022-03-17,ukk2205-21300
17175,2021-06-28,ukk2305-34900
263,2020-01-19,ukj4208-13400
67563,2021-12-15,ukk2206-20700
65187,2021-10-11,ukc2203-05200
72166,2022-05-02,ukd4200-42100
58612,2021-06-08,ukk3105-31300
44793,2020-07-25,ukh3100-11770
77500,2022-08-07,ukd4200-42500
35217,2020-01-15,ukd4200-42300
49497,2020-10-26,ukk3105-30300
67539,2021-12-15,uke2206-07200
57866,2021-05-29,ukk3101-26700
110023,2021-07-15,ukk4200-23501
43030,2020-06-23,ukk2204-20000
41247,2020-05-21,ukj3400-18350
81814,2022-10-15,ukj2201-14400
6670,2020-07-08,ukc2104-04280
75029,2022-06-25,ukk1202-35900
76611,2022-07-21,ukk3106-27100
23871,2022-02-26,ukc2102-03600
91711,2021-04-09,ukk3101-26560
81691,2022-10-13,ukk1202-36000
86337,2020-05-04,ukd5300-41300
93046,2021-06-23,ukk2101-19060
54094,2021-03-30,ukk3103-31500
70677,2022-03-28,ukk3104-32550
71655,2022-04-22,ukd1103-45920
6489,2020-07-02,ukj4209-11975
1762,2020-03-25,ukc2104-04300
89123,2020-10-14,ukk3102-28700
91420,2021-03-22,ukh3311-11600
8288,2020-08-24,ukc2204-05400
2027,2020-03-30,ukd1101-46300
42235,2020-06-08,ukk2204-20200
47075,2020-09-01,ukk3104-33650
36909,2020-03-17,ukk2101-19160
77635,2022-08-09,ukc1202-06600
10039,2020-10-16,ukd4312-42800
8803,2020-09-08,uke1301-09020
15439,2021-05-18,ukh3311-11550
61035,2021-07-26,ukd1103-45600
71235,2022-04-14,ukk2302-35500
45898,2020-08-10,ukk3106-32400
14228,2021-04-23,ukh1305-10310
22541,2021-12-09,ukj2202-14100
66097,2021-10-30,ukh3311-11300
72815,2022-05-16,ukj4208-13700
44518,2020-07-18,ukk3106-27200
90243,2020-12-30,ukk3102-31700
40192,2020-05-04,ukk3103-29501
81509,2022-10-11,uke1200-08200
90721,2021-02-08,uke1200-08800
1439,2020-03-17,ukk2201-18800
80584,2022-09-24,ukd5400-40750
42984,2020-06-23,ukc1101-06000
4255,2020-05-13,ukf3102-09500
91861,2021-04-16,ukj2402-15650
15785,2021-05-28,ukf3102-09400
89965,2020-12-15,ukk3106-27700
96511,2021-12-09,ukh3100-11900
32485,2022-09-24,ukd5400-40900
3805,2020-05-04,ukd1101-46300
85875,2020-04-09,ukk2101-19060
2225,2020-04-03,ukh1305-10125
101051,2022-10-01,ukk3103-29200
48582,2020-10-04,ukd4200-42300
37454,2020-03-25,ukk3106-32330
34079,2022-11-14,ukh1304-09900
91949,2021-04-19,ukk4200-23700
79146,2022-09-01,ukk3106-28100
40163,2020-05-04,ukk2205-21400
92494,2021-05-19,ukk2101-19150
45156,2020-07-31,ukd4305-43550
59253,2021-06-21,ukk4304-34500
94331,2021-09-06,ukk3102-31600
103069,2020-07-13,ukk4304-34400
111286,2021-06-05,ukc2103-04600
100282,2022-08-27,ukd1103-45200
98791,2022-05-04,ukk3104-33650
40415,2020-05-07,ukk3106-27100
38966,2020-04-17,ukk3104-32550
77189,2022-08-02,ukk3102-28700
42618,2020-06-15,ukk2101-19000
87432,2020-07-28,ukk3105-30600
40979,2020-05-17,ukk3105-31200
6092,2020-06-23,ukc2101-04250
13979,2021-04-18,ukh1305-10125
77368,2022-08-05,ukd1102-44400
111801,2020-04-24,uke1301-09020
63028,2021-09-01,ukk1202-35700
108219,2021-02-28,ukk4307-33900
73049,2022-05-21,ukk2206-20300
108573,2022-02-01,ukk3106-28100
53784,2021-03-25,ukk2206-20800
110095,2022-09-11,ukj3400-17500
75388,2022-07-03,ukk3104-33100
69239,2022-03-05,ukd4200-42300
60589,2021-07-18,ukk2305-35000
53967,2021-03-27,ukk4301-21900
110236,2022-03-17,ukj4210-12350
70897,2022-04-07,ukd1101-46100
5596,2020-06-11,ukk3106-27900
65083,2021-10-08,ukh3311-11300
11389,2021-01-24,ukc2104-04300
25619,2022-04-19,ukd1102-44400
99816,2022-07-20,ukj3400-18600
100344,2022-08-30,ukk3104-33400
60003,2021-07-06,ukk4304-34410
18731,2021-08-10,ukd1101-46300
61455,2021-08-02,uke1200-08100
74488,2022-06-13,ukk4304-34410
76489,2022-07-20,ukh3306-11750
41511,2020-05-26,ukh3306-11750
110179,2021-05-01,ukk4306-22400
49861,2020-11-09,ukh3311-11350
104079,2020-12-20,ukd4200-42500
17411,2021-07-06,ukk3105-31200
88772,2020-10-01,ukk4305-24800
59592,2021-06-28,ukd1102-44200
12299,2021-03-05,ukk3101-26520
93314,2021-07-13,ukk3102-28550
60876,2021-07-22,ukj4208-13600
87640,2020-08-07,ukk4305-25900
103452,2020-09-24,ukk3102-31600
94159,2021-08-30,ukd1102-44400
69111,2022-02-26,ukd4305-43550
93934,2021-08-12,ukk4305-25700
2700,2020-04-13,ukh1305-10150
36052,2020-02-27,ukd5300-41500
103334,2020-09-09,ukk3106-27200
29793,2022-07-28,ukk3105-31400
41777,2020-05-29,ukk3102-31800
74197,2022-06-10,ukj2202-14150
11752,2021-02-10,ukc2204-05300
21436,2021-10-25,ukj4208-13500
12070,2021-02-25,ukh1303-10350
19507,2021-09-03,ukf3102-09200
14646,2021-05-01,ukj3400-17850
14591,2021-05-01,ukc1404-05700
97406,2022-02-23,ukk3106-27500
18756,2021-08-10,ukk3106-32500
5476,2020-06-08,ukc2102-03700
67374,2021-12-05,uke2206-07100
103144,2020-08-07,ukc2106-04400
89511,2020-11-05,ukk4306-22400
62468,2021-08-24,ukc2203-04800
102326,2022-12-10,ukk2205-20970
3858,2020-05-04,ukk4200-23200
19214,2021-08-27,ukk2305-34900
15409,2021-05-17,ukk3106-28000
100067,2022-08-09,ukj3307-16350
107541,2022-12-15,ukk3104-33600
110467,2021-03-17,ukk4200-23600
17382,2021-07-05,ukj4208-13400
71793,2022-04-24,ukk2206-20700
64940,2021-10-06,ukd1103-45920
14016,2021-04-19,ukc1202-06400
58620,2021-06-08,ukk3106-28200
65193,2021-10-11,ukd1103-45920
79716,2022-09-11,ukk2204-20000
15586,2021-05-21,ukj3307-16400
38426,2020-04-09,ukd5400-40800
86766,2020-06-08,ukk2201-17300
89958,2020-12-15,ukk3105-30700
28715,2022-07-05,ukj3400-18400
76272,2022-07-17,ukh1406-11000
82513,2022-10-31,ukk3103-29800
37113,2020-03-20,ukk4306-22600
67937,2022-01-12,ukk3106-28200
52680,2021-02-28,ukk4306-22400
47872,2020-09-18,ukk1202-35900
59861,2021-07-01,ukk3106-28300
60735,2021-07-20,ukj4210-12300
111958,2022-03-12,ukk4200-23400
100588,2022-09-11,ukk2302-35600
74401,2022-06-13,ukk2101-19160
94425,2021-09-11,ukk2101-19020
22323,2021-11-29,ukh1304-09900
62024,2021-08-10,ukk3106-32200
54781,2021-04-12,ukd5300-41500
106068,2022-02-27,ukj2401-15100
85689,2020-03-30,ukk3106-28400
8335,2020-08-24,ukj3400-17850
90496,2021-01-24,ukk1202-35800
5002,2020-05-27,ukk3105-30900
31945,2022-09-11,ukk3101-26530
108501,2022-01-14,ukk3104-33500
46787,2020-08-27,ukk4301-21800
14907,2021-05-06,ukj2401-15100
17437,2021-07-07,ukh1305-10100
97037,2022-01-21,ukk2205-21500
20262,2021-09-23,ukc2203-05100
12254,2021-03-05,ukc1404-05900
34806,2022-12-20,ukd1101-46000
10916,2020-12-22,ukh1305-10125
63805,2021-09-16,ukd5400-40750
92377,2021-05-13,ukh3100-11850
89164,2020-10-16,uke1200-08100
107828,2020-09-06,ukk3106-32340
67209,2021-11-29,ukj4210-12400
91288,2021-03-15,uke1200-08800
97407,2022-02-23,ukk3106-27700
10873,2020-12-20,ukc1101-06200
67482,2021-12-12,ukh1304-09850
33517,2022-10-20,ukj4208-13500
81629,2022-10-13,ukc2203-05200
33645,2022-10-26,ukc1202-06700
53174,2021-03-15,ukd5300-41500
35034,2020-01-10,ukd4200-42100
89705,2020-11-13,ukk3106-32310
23780,2022-02-23,ukk3101-26530
40233,2020-05-04,ukk4200-23501
56008,2021-04-29,ukk2201-17200
32152,2022-09-16,ukk3106-32320
32219,2022-09-18,ukj2403-15900
87669,2020-08-09,ukk4301-21600
39088,2020-04-19,ukk2205-21200
66146,2021-10-31,uke2206-07300
20885,2021-10-08,ukj4209-12000
82093,2022-10-20,ukj2100-14900
106742,2022-09-01,ukk3103-29500
40097,2020-05-03,ukj2205-14200
102574,2022-12-27,ukh3100-11900
10190,2020-10-25,ukj4210-12660
92560,2021-05-22,ukk3106-27300
13819,2021-04-14,ukk2205-21500
16344,2021-06-07,ukj4202-12200
14650,2021-05-01,ukj3400-18500
9450,2020-09-28,ukj4202-12120
109960,2020-06-25,ukj4210-12350
74696,2022-06-20,ukj3308-16900
22915,2022-01-13,ukh1407-10850
80489,2022-09-23,ukh1303-10400
45295,2020-08-02,ukd5400-40750
108540,2022-01-19,ukk4306-23000
49009,2020-10-11,ukk3104-33300
6662,2020-07-08,ukc2101-04200
64858,2021-10-04,ukk3103-29800
72848,2022-05-16,ukk4301-21800
55135,2021-04-17,ukd1103-45920
86281,2020-04-29,ukk4100-26500
18862,2021-08-12,ukk3105-31000
107953,2020-11-10,ukk3102-28500
64413,2021-09-26,ukc1202-06700
112700,2022-09-23,ukk4306-22800
106207,2022-03-20,ukk3104-33360
25182,2022-04-03,ukh3311-11550
79602,2022-09-09,ukk3105-31250
93531,2021-07-23,ukk2101-19150
41238,2020-05-21,ukj2403-16000
94997,2021-10-01,ukk3105-30700
86828,2020-06-13,ukk4301-21700
42065,2020-06-02,ukj4210-12630
112030,2022-10-13,ukk4200-23400
4421,2020-05-16,ukh1407-10830
30750,2022-08-17,ukc2104-04300
83078,2022-11-15,ukk3106-32320
58304,2021-06-05,ukc2203-04800
101298,2022-10-16,ukk1202-35800
35850,2020-02-11,ukj4208-13600
21529,2021-10-29,ukd1103-45600
68120,2022-01-17,ukk4307-33900
72285,2022-05-04,ukd5400-40800
67293,2021-12-02,ukk2204-19700
74300,2022-06-11,ukk3105-30800
36010,2020-02-26,ukk1202-36000
27350,2022-06-03,ukk3106-27900
74298,2022-06-11,ukk3105-30300
112980,2022-06-10,ukk4200-23200
105757,2022-01-12,ukk4304-34400
49442,2020-10-26,uke1200-08000
68975,2022-02-23,ukk2206-20600
48014,2020-09-21,ukd5400-40750
35709,2020-02-06,ukc2203-05000
19980,2021-09-16,ukc2102-03800
77072,2022-07-31,ukk4304-34600
20711,2021-10-05,ukf3102-09100
59378,2021-06-23,ukk3104-32550
61567,2021-08-02,ukk4305-25500
82315,2022-10-26,ukd4305-43550
35870,2020-02-11,ukk2205-21400
57053,2021-05-16,uke1200-08800
98720,2022-04-29,ukk3106-28100
64775,2021-10-03,ukh3311-11350
77180,2022-08-02,ukk2302-35300
49720,2020-11-04,ukj4210-12400
43451,2020-07-01,ukk3104-33100
33423,2022-10-18,uke2206-07500
4671,2020-05-21,ukh1303-10650
74729,2022-06-20,ukk2205-21400
74379,2022-06-13,ukd4200-42600
103839,2020-11-10,ukd4200-42500
4166,2020-05-11,uke1200-08900
81674,2022-10-13,ukj3304-16850
43158,2020-06-25,ukh3100-11902
11789,2021-02-10,ukj2402-15800
54127,2021-03-30,ukk3106-32310
59712,2021-06-28,ukk4304-34410
44627,2020-07-20,ukk2101-19050
109789,2020-11-25,uke1301-09000
18173,2021-07-28,uke1200-08700
11961,2021-02-18,ukk3105-31000
12157,2021-02-27,ukh3311-11550
103426,2020-09-21,ukk3102-31600
2453,2020-04-07,ukk3105-30700
14810,2021-05-04,ukk2302-35500
110574,2020-01-20,ukk3105-30600
539,2020-02-06,uke2206-07500
41931,2020-05-31,ukk2205-21300
45852,2020-08-10,ukk3102-31900
83933,2022-12-10,ukk2102-19170
77714,2022-08-09,ukk2205-21100
38883,2020-04-16,ukj3400-17600
72307,2022-05-04,ukk2201-18700
66611,2021-11-10,ukk3105-30300
43998,2020-07-10,ukk2206-20400
18745,2021-08-10,ukk3105-31100
60553,2021-07-18,uke2206-06900
7532,2020-08-01,ukh1407-10830
12824,2021-03-20,ukk2201-18900
62772,2021-08-27,ukk4305-25000
57735,2021-05-27,ukk3104-33500
91043,2021-02-26,ukd1102-44300
99671,2022-07-11,ukd1103-45200
102410,2022-12-15,ukk3101-26700
51724,2021-02-05,ukk2302-35300
76844,2022-07-28,ukk2305-35200
33325,2022-10-16,ukc1101-06200
52551,2021-02-27,ukj4208-13600
73533,2022-05-31,uke2206-07600
28441,2022-06-30,ukk2102-19350
98011,2022-03-23,ukk3105-31450
66352,2021-11-03,ukk3102-31700
30649,2022-08-14,ukc2203-05000
47327,2020-09-06,ukk4306-22600
5497,2020-06-08,ukd5400-40900
57927,2021-05-29,ukk4301-22200
43994,2020-07-10,ukk2205-21200
88124,2020-09-06,uke2206-07300
89421,2020-11-04,ukj2201-14550
55766,2021-04-26,uke1200-08600
24717,2022-03-20,uke2206-07700
45895,2020-08-10,ukk3106-32310
26997,2022-05-28,ukh1407-10830
10532,2020-11-10,ukk2201-18900
11530,2021-01-29,ukk3105-31100
77351,2022-08-04,ukk2205-21400
25648,2022-04-19,ukk3104-32900
48350,2020-09-29,ukk3106-27600
6339,2020-06-28,ukc2103-04600
89898,2020-12-04,ukh3100-11900
107213,2022-11-18,ukk3105-30700
108835,2022-11-08,ukk3106-32400
91407,2021-03-20,ukk4304-34100
526,2020-02-06,ukc1202-06400
47932,2020-09-19,ukk3104-33100
68321,2022-01-22,ukd1103-45920
15275,2021-05-14,ukk4200-24100
109035,2020-01-15,ukk3103-29500
21241,2021-10-20,ukh1407-10800
42331,2020-06-08,ukk4306-22800
66101,2021-10-30,ukh3311-11700
110781,2021-03-27,ukk4200-23501
1852,2020-03-27,uke1200-08700
41867,2020-05-31,ukh1303-10600
43820,2020-07-08,ukk2302-35300
45916,2020-08-11,ukh3100-11850
62929,2021-08-30,ukk3104-33300
92461,2021-05-17,ukk3104-33400
112750,2020-03-04,ukj2100-14800
25829,2022-04-24,ukc1404-05900
66650,2021-11-13,ukd4200-42600
25867,2022-04-24,ukk2204-19700
19139,2021-08-25,ukd1101-46000
87979,2020-08-30,ukk3103-29200
46755,2020-08-27,ukk3105-30300
110963,2021-06-15,ukk4305-24700
86366,2020-05-04,ukk4305-25900
30866,2022-08-19,ukh1303-10650
86344,2020-05-04,ukk2101-19060
68280,2022-01-21,ukj3100-16600
55484,2021-04-21,ukk2206-20800
66474,2021-11-05,ukk3104-32800
83352,2022-11-20,ukk4305-25500
49384,2020-10-25,ukh1303-10325
22788,2022-01-04,ukc2104-04280
14068,2021-04-19,ukk3101-26530
111121,2021-03-17,ukk4306-22600
111497,2021-04-21,ukk4200-23600
56174,2021-05-01,ukk1202-35700
34275,2022-11-20,ukk2201-18750
30842,2022-08-19,ukc2203-05000
82915,2022-11-12,ukj3304-16850
22228,2021-11-22,ukk2201-18800
73702,2022-06-02,ukj4210-12630
89156,2020-10-16,ukc2300-05500
102429,2022-12-15,ukk3106-28200
53719,2021-03-24,ukj4210-12400
23315,2022-02-01,ukk4304-34450
102710,2020-01-20,ukk3103-29200
104823,2021-07-08,ukk4304-34700
74783,2022-06-21,ukk3104-33300
82440,2022-10-31,ukc2203-04800
59535,2021-06-26,ukk3102-31900
66150,2021-10-31,ukk1202-35700
34925,2022-12-27,ukj3400-17800
44333,2020-07-16,ukk3105-31000
26699,2022-05-19,uke2206-07200
82094,2022-10-20,ukj2100-15000
97708,2022-03-12,uke1200-07900
85862,2020-04-08,ukj4210-12800
76441,2022-07-18,ukk4304-34400
80784,2022-09-26,ukk3105-31300
78134,2022-08-17,ukk1202-35900
15662,2021-05-24,ukc2104-04280
112625,2021-12-17,ukk4306-22800
28780,2022-07-07,ukj4210-12660
63980,2021-09-18,ukk2201-18700
36718,2020-03-12,ukk2206-20800
83150,2022-11-17,ukk1202-35700
73273,2022-05-27,ukd4200-42100
94035,2021-08-24,ukj3100-16500
5482,2020-06-08,ukc2104-04300
61052,2021-07-26,ukk3102-28800
64603,2021-09-29,ukk3106-28200
9010,2020-09-14,ukd5400-40900
37564,2020-03-27,ukk2205-21200
98518,2022-04-21,ukk2204-20100
44017,2020-07-11,ukd4200-42300
