,time,site
69846,2021-05-25,ukk4305-25800
150879,2022-07-04,ukk4305-25800
165544,2022-08-08,ukk3105-31450
173051,2022-08-27,ukk2206-20800
10605,2020-06-08,uke1301-09020
84484,2021-06-29,ukk4301-21700
81654,2021-06-23,ukd5400-40900
186129,2022-09-28,ukk3102-32000
26847,2020-07-16,ukk3105-30100
32452,2020-07-30,ukc2203-05200
68544,2021-05-22,ukk4100-26400
142985,2022-06-16,ukf3102-09500
163126,2022-08-03,ukc2106-04400
59606,2021-05-01,ukk1202-35800
86051,2021-07-03,ukk2305-35100
23552,2020-07-08,ukk4304-34500
175892,2022-09-04,ukj2402-15680
150552,2022-07-04,uke2206-07300
103394,2021-08-14,ukc2101-04200
176473,2022-09-05,ukk3104-33700
73407,2021-06-03,ukj4204-13100
160110,2022-07-26,ukk4200-24300
119307,2021-09-21,ukc1202-06400
115916,2021-09-12,ukk4304-34100
99144,2021-08-03,ukk4200-24200
8523,2020-06-03,ukh1303-10650
143829,2022-06-18,ukf3102-09700
18057,2020-06-25,ukk4200-23800
179990,2022-09-14,ukd4200-42100
19670,2020-06-29,ukk3103-29800
141017,2022-06-11,ukk2101-19020
116037,2021-09-13,ukf3102-09100
117212,2021-09-16,ukc1202-06400
52593,2020-09-15,ukk4301-22200
143918,2022-06-18,ukj3400-17850
38404,2020-08-13,ukf3102-09300
66716,2021-05-18,ukj4210-12400
73047,2021-06-02,ukk2205-21100
158402,2022-07-22,ukk3106-32100
20281,2020-07-01,uke1200-08200
64912,2021-05-14,uke2206-07300
79117,2021-06-17,ukd1103-44800
18801,2020-06-27,ukk3101-26520
24767,2020-07-11,ukk3106-27800
71603,2021-05-30,uke1200-08100
34957,2020-08-05,ukc1202-06700
173376,2022-08-28,ukj3305-16700
14178,2020-06-16,ukk3101-27000
78778,2021-06-16,ukh3100-11830
164889,2022-08-07,ukh1305-10000
106916,2021-08-22,ukj3400-18200
5399,2020-05-26,ukk3106-27600
11518,2020-06-10,ukj2203-14600
64327,2021-05-12,ukk3105-31350
180566,2022-09-15,ukj4208-13600
57794,2020-09-28,ukh1407-10800
104917,2021-08-17,ukk3102-28500
77639,2021-06-13,ukk2102-19400
113590,2021-09-07,ukj2401-15300
99639,2021-08-05,ukc2203-05200
18670,2020-06-27,ukj2201-14400
183789,2022-09-23,ukd5300-41200
53060,2020-09-17,ukc1202-06700
146386,2022-06-24,ukh3306-11750
181004,2022-09-16,ukj4210-12850
